0
"question:  If you plan to web application in the Azure platform as a service solution of Azure Web Apps, then the platform will have the ability to scale automatically?"
correct answer:  Yes.
not correct answer:  No.
"question:  You decide to create 2 Virtual machines. Each virtual machine is of the size ""D2s v3"". Would these machines always generate the same monthly cost?"
not correct answer:  Yes.
correct answer:  No.
question:  Your team needs to have a tool that provides a digital online assistant that can provide speech support. Which of the following service can be used for this purpose?
not correct answer:  Azure Machine Learning.
not correct answer:  Azure loT Hub.
correct answer:  Azure Al bot.
not correct answer:  Azure Functions.
question:  Your team needs to have a tool that can use past trainings to provide predictions of very high probability. Which of the following service can be used for this purpose?
correct answer:  Azure Machine Learning.
not correct answer:  Azure loT Hub.
not correct answer:  Azure Al bot.
not correct answer:  Azure Functions.
question:  Your team needs to have a tool that can provide serverless computing capabilities. Which of the following service can be used for this purpose?
not correct answer:  Azure Machine Learning.
not correct answer:  Azure loT Hub.
not correct answer:  Azure Al bot.
correct answer:  Azure Functions.
question:  Your team needs to have a tool that can be used to process data from millions of sensors. Which of the following service can be used for this purpose?
not correct answer:  Azure Machine Learning.
correct answer:  Azure loT Hub.
not correct answer:  Azure Al bot.
not correct answer:  Azure Functions.
question:  A company needs to deploy a set of resources to Azure. Below are the key requirements for the deployment a) The need to be deployed across several departments b) The resources that need to be deployed are all of the same type You need to recommend a solution to automate the deployment of the Azure resources. Which of the following would you use for this requirement?
not correct answer:  Virtual Machine scale sets.
not correct answer:  Management Groups.
not correct answer:  Azure AD.
correct answer:  Azure Resource Manager Templates.
question:  Your company needs to deploy an application to virtual machines hosted in Azure. The solution must ensure an SLA of 99.99%. What is the minimum number of virtual machines and availability zones that you need to recommend for the deployment?
not correct answer:  One virtual machine and One availability zone.
not correct answer:  Two virtual machines and availability zone.
not correct answer:  One virtual machine and Two availability zones.
correct answer:  Two virtual machines and Two availability zones.
question:  Your team needs a tool that can be used to correlate events from multiple resources into a central repository. Which of the following can be used for this purpose
not correct answer:  Azure Event Hubs.
not correct answer:  Azure Security Center.
not correct answer:  Azure AD.
correct answer:  Azure Log Analytics.
question:  A company is planning on hosting an application on an Azure Virtual Machine. It needs to be ensured that the application hosted on the virtual machine is accessible from the Internet over HTTPS. You decide to implement a DDOS protection plan. Would this satisfy the requirement
not correct answer:  Yes.
correct answer:  No.
question:  A company is planning on hosting an application on an Azure Virtual Machine. It needs to be ensured that the application hosted on the virtual machine is accessible from the Internet over HTTPS. You decide to implement an Azure Traffic Manager profile. Would this satisfy the requirement
not correct answer:  Yes.
correct answer:  No.
question:  Which of the following customers are eligible to use Azure Government to develop a cloud solution? Choose 2 answers from the options given below
correct answer:  United states government Entity.
correct answer:  A United states government contractor.
not correct answer:  A European government Entity.
not correct answer:  A European government contractor.
question:  A team is currently planning on using Azure for hosting resources. They are going to create users which would have access to the Azure resources. The want to implement Multi-Factor authentication for the users. Is it required to deploy a federated solution to implement Multi-Factor authentication
not correct answer:  Yes.
correct answer:  No.
question:  A team is currently planning on using Azure for hosting resources. They are going to create users which would have access to the Azure resources. The want to implement Multi-Factor authentication for the users. Are two valid methods for Azure Multi-Factor authentication picture identification and entering a passport number
not correct answer:  Yes.
correct answer:  No.
"question:  Which of the following support plan gives you access to best practice information, health status and notifications, and 24/7 access to billing information at the lowest possible cost"
correct answer:  Basic.
not correct answer:  Standard.
not correct answer:  Premier.
not correct answer:  Developer.
"question:  If you plan to host a web application in the Azure platform as a service solution of Azure Web Apps, then you will have complete control over the underlying operating system"
not correct answer:  Yes.
correct answer:  No.
"question:  You decide to create a virtual machine which is of the size ""D2s_v3"". If you plan to stop the virtual machine, will you incur any costs for the storage associated with the virtual machine"
correct answer:  Yes.
not correct answer:  No.
"question:  Your company is planning on using Azure for hosting Infrastructure level resources such as Azure Virtual Machines. When planning for the costing aspect for these resources, is there a flexibility offered when it comes to Capital and Operational Expenditure"
correct answer:  Yes.
not correct answer:  No.
question:  You are looking at using a Software as a Solution service in Azure. Which of the following would you be responsible for
not correct answer:  High availability of the solution.
correct answer:  Configuration of the solution.
not correct answer:  Installing the solution.
not correct answer:  Scalability of the solution.
question:  A company is planning on migrating all of their on-premise servers to Azure. Their business continuity department has advised that they need to ensure that servers hosted in Azure are available even if an Azure Data Center were to go down. Which of the following is a concept that would be involved in the design stage for this requirement
not correct answer:  Scalability.
correct answer:  Fault Tolerance.
not correct answer:  Low Latency.
not correct answer:  Elasticity.
question:  Under which of the following circumstances could a company look at decommissioning its data center
not correct answer:  If they have their infrastructure hosted in a private cloud.
correct answer:  If they have their infrastructure hosted in the public cloud.
not correct answer:  If they have their infrastructure hosted in a hybrid cloud.
question:  A company is planning on migrating a web site to Azure. This is a public web site that is used by users on the Internet. Which of the following must the company plan for if they are planning to migrate the web site to Azure
not correct answer:  They would need to deploy a VPN.
not correct answer:  They would need to pay for the cost to transfer the web site to Azure.
correct answer:  They would need to pay for the monthly costs incurred for hosting the web site.
not correct answer:  hey would need to pay for the number of connections to the web site.
question:  An administrator needs to run a script written in Powershell. This script is going to create a virtual machine in Azure. Would the script run on a computer that runs Linux and has the Azure CLI tools installed
not correct answer:  Yes.
correct answer:  No.
question:  An administrator needs to run a script written in Powershell. This script is going to create a virtual machine in Azure. Would you be able to run the script on a machine that has Chrome OS installed and uses Azure Cloud Shell
correct answer:  Yes.
not correct answer:  No.
question:  An administrator needs to run a script written in Powershell. This script is going to create a virtual machine in Azure. Would you be able to run the script on a machine that has macOS and Powershell core installed
correct answer:  Yes.
not correct answer:  No.
question:  An Administrator needs to view the list of planned maintenance events that could potentially affect the availability of the resources hosted in an AZure subscription. Which of the following blade in the Azure portal should the administrator consider for this requirement
not correct answer:  Resource Groups.
not correct answer:  Azure Active Directory.
not correct answer:  Azure Advisor.
correct answer:  Help + Support.
question:  Your team needs to have an integrated solution in place that can be used for the deployment of code. Which of the following service can be used for this purpose
not correct answer:  Azure Advisor.
not correct answer:  Azure Cognitive services.
not correct answer:  Azure Application Insights.
correct answer:  Azure Devops.
question:  Your team needs a tool that can provide guidance and recommendations that can be used to improve an Azure environment. Which of the following service can be used for this purpose
correct answer:  Azure Advisor.
not correct answer:  Azure Cognitive services.
not correct answer:  Azure Application Insights.
not correct answer:  Azure Devops.
question:  Your team needs to use a tool that can be used to build intelligent Artificial Intelligence based applications. Which of the following service can be used for this purpose
not correct answer:  Azure Advisor.
correct answer:  Azure Cognitive services.
not correct answer:  Azure Application Insights.
not correct answer:  Azure Devops.
question:  Your team needs to have a tool that can be used to monitor web applications deployed to Azure. Which of the following service can be used for this purpose
not correct answer:  Azure Advisor.
not correct answer:  Azure Cognitive services.
correct answer:  Azure Application Insights.
not correct answer:  Azure Devops.
question:  A team currently has several computers in their on-premise environment that runs on Windows 10. They need to share files by enabling mapped drives from the computers. Which of the following would be an ideal storage solution for this requirement
not correct answer:  Using the Azure storage - BLOB service.
correct answer:  Using the Azure storage - File service.
